gene,in_data,in_model
ENSG00000068745,True,False
ENSG00000105323,True,False
ENSG00000280162,True,False
ENSG00000074181,True,False
ENSG00000287522,True,False
ENSG00000174827,True,False
ENSG00000196865,True,False
ENSG00000175198,True,False
ENSG00000267422,True,False
ENSG00000152284,True,False
ENSG00000172379,True,False
ENSG00000166783,True,False
ENSG00000196123,True,False
ENSG00000226961,True,False
ENSG00000180891,True,False
ENSG00000288926,True,False
ENSG00000107864,True,False
ENSG00000137449,True,False
ENSG00000110446,True,False
ENSG00000212455,True,False
ENSG00000248663,True,False
ENSG00000241889,True,False
ENSG00000144381,True,False
ENSG00000226887,True,False
ENSG00000223442,True,False
ENSG00000115128,True,False
ENSG00000138398,True,False
ENSG00000249565,True,False
ENSG00000272662,True,False
ENSG00000234925,True,False
ENSG00000269858,True,False
ENSG00000107984,True,False
ENSG00000229117,True,False
ENSG00000137274,True,False
ENSG00000122482,True,False
ENSG00000253309,True,False
ENSG00000235979,True,False
ENSG00000251188,True,False
ENSG00000285669,True,False
ENSG00000163645,True,False
ENSG00000187742,True,False
ENSG00000185361,True,False
ENSG00000138735,True,False
ENSG00000225665,True,False
ENSG00000163468,True,False
ENSG00000213100,True,False
ENSG00000289865,True,False
ENSG00000140396,True,False
ENSG00000287263,True,False
ENSG00000158104,True,False
ENSG00000181274,True,False
ENSG00000261652,True,False
ENSG00000283683,True,False
ENSG00000280333,True,False
ENSG00000269743,True,False
ENSG00000280719,True,False
ENSG00000276216,True,False
ENSG00000250862,True,False
ENSG00000289224,True,False
ENSG00000162779,True,False
ENSG00000248540,True,False
ENSG00000271869,True,False
ENSG00000254831,True,False
ENSG00000128951,True,False
ENSG00000130772,True,False
ENSG00000245532,True,False
ENSG00000168066,True,False
ENSG00000198108,True,False
ENSG00000290833,True,False
ENSG00000210195,True,False
ENSG00000276107,True,False
ENSG00000264575,True,False
ENSG00000272777,True,False
ENSG00000240759,True,False
ENSG00000224183,True,False
ENSG00000197620,True,False
ENSG00000234289,True,False
ENSG00000242088,True,False
ENSG00000162585,True,False
ENSG00000126746,True,False
ENSG00000166164,True,False
ENSG00000106617,True,False
ENSG00000239887,True,False
ENSG00000288953,True,False
ENSG00000256211,True,False
ENSG00000213244,True,False
ENSG00000175110,True,False
ENSG00000287331,True,False
ENSG00000278009,True,False
ENSG00000172007,True,False
ENSG00000293314,True,False
ENSG00000167779,True,False
ENSG00000234607,True,False
ENSG00000234378,True,False
ENSG00000233695,True,False
ENSG00000176692,True,False
ENSG00000277948,True,False
ENSG00000162174,True,False
ENSG00000290865,True,False
ENSG00000112658,True,False
ENSG00000236259,True,False
ENSG00000291203,True,False
ENSG00000173482,True,False
ENSG00000163539,True,False
ENSG00000227051,True,False
ENSG00000235381,True,False
ENSG00000101868,True,False
ENSG00000273271,True,False
ENSG00000159199,True,False
ENSG00000250982,True,False
ENSG00000206562,True,False
ENSG00000286242,True,False
ENSG00000155636,True,False
ENSG00000163618,True,False
ENSG00000235354,True,False
ENSG00000159082,True,False
ENSG00000265096,True,False
ENSG00000079691,True,False
ENSG00000229589,True,False
ENSG00000278619,True,False
ENSG00000289432,True,False
ENSG00000243099,True,False
ENSG00000230453,True,False
ENSG00000204574,True,False
ENSG00000288583,True,False
ENSG00000156011,True,False
ENSG00000177192,True,False
ENSG00000177706,True,False
ENSG00000184164,True,False
ENSG00000130592,True,False
ENSG00000162852,True,False
ENSG00000267560,True,False
ENSG00000261423,True,False
ENSG00000224163,True,False
ENSG00000180044,True,False
ENSG00000243225,True,False
ENSG00000168306,True,False
ENSG00000143228,True,False
ENSG00000284407,True,False
ENSG00000146232,True,False
ENSG00000138028,True,False
ENSG00000197149,True,False
ENSG00000177051,True,False
ENSG00000185591,True,False
ENSG00000135709,True,False
ENSG00000135338,True,False
ENSG00000224635,True,False
ENSG00000143622,True,False
ENSG00000221949,True,False
ENSG00000285752,True,False
ENSG00000060982,True,False
ENSG00000091640,True,False
ENSG00000223695,True,False
ENSG00000269001,True,False
ENSG00000164088,True,False
ENSG00000124383,True,False
ENSG00000262691,True,False
ENSG00000181333,True,False
